"weight";"word";"color";"url"
"15";"Джинсы порезаны, лето, три полоски на кедах";"";""
"15";"Ждёт сына мать, а сыновей Земля";"";""
"15";"Мутим то, что помогает жить нам";"";""
"15";"Прикосновения плавили мой металл Ты элемент номер пять - ни дать ни взять";"";""
"15";"Вакуум кругом, я в нём по уши Эй, Земля, алло, милый дом, услышь мой вой уже, это Вояджер...";"";""
"15";"Один мой друг самурай учит проиграть всё заранее: битву, женщину спор";"";""
"15";"Mama, put my guns in the ground I can’t shoot them anymore";"";""
"15";"You better lose yourself in the music The moment, you own it, you better never let it go (Go)";"";""
"15";"Alright, partner Keep on rollin', baby You know what time it is";"";""
"15";"Every day, discoverin' somethin' brand new I'm in love with the shape of you";"";""
"10";"Я соблюдаю режим, радуюсь, что жив";"";""
"10";"Быть может мы счастливы, но бессимптомно";"";""
"10";"Мы будем дышать, искать и лажать, мы люди";"";""
"5";"Куда ты тянешь свои ручки, сучка";"";""
"10";"Нет сигнала сети Самое время, чего же мы ждём";"";""
"3";"Натяни на голову гандон Это от ума, это Вавилон";"";""
"3";"Сука бля это, сука бля то";"";""
